************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 05/07/2024 17:12:06
Simulation start date: 04/11/2024
Simulation end date: 05/06/2024
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: btk 2024 basil trial
************************************************************************
Year-DOY  Year  DOY  DOW      Date  ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig    Rain  Year  DOY  DOW      Date
2024-102  2024  102  Thu  04/11/24  2.695 0.400 0.400 0.036 1.200 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  1.078   2.800 -99.999 -99.999 0.035 0.557   1.559 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  102  Thu  04/11/24
2024-103  2024  103  Fri  04/12/24  2.954 0.400 0.400 0.036 1.194 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  1.182   2.800 -99.999 -99.999 0.035 0.553   1.548 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  103  Fri  04/12/24
2024-104  2024  104  Sat  04/13/24  3.373 0.400 0.400 0.036 1.207 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  1.349   2.800 -99.999 -99.999 0.035 0.546   1.529 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  104  Sat  04/13/24
2024-105  2024  105  Sun  04/14/24  2.965 0.400 0.400 0.036 1.189 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  1.186   2.800 -99.999 -99.999 0.035 0.553   1.547 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  105  Sun  04/14/24
2024-106  2024  106  Mon  04/15/24  1.645 0.400 0.400 0.036 1.190 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.658   2.800 -99.999 -99.999 0.035 0.574   1.606 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  106  Mon  04/15/24
2024-107  2024  107  Tue  04/16/24  1.973 0.400 0.400 0.036 1.176 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.789   2.800 -99.999 -99.999 0.035 0.568   1.592 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  107  Tue  04/16/24
2024-108  2024  108  Wed  04/17/24  1.344 0.400 0.400 0.036 1.166 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.538   2.800 -99.999 -99.999 0.035 0.578   1.620 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  108  Wed  04/17/24
2024-109  2024  109  Thu  04/18/24  1.317 0.400 0.400 0.036 1.157 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.527   2.800 -99.999 -99.999 0.035 0.579   1.621 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  109  Thu  04/18/24
2024-110  2024  110  Fri  04/19/24 -0.002 0.400 0.400 0.036 1.152 0.000 1.000 1.000  12.573 0.000 0.000 -0.000   0.000 0.400 -0.001   2.800 -99.999 -99.999 0.035 0.600   1.680 0.000 0.000 -0.000 -0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  110  Fri  04/19/24
2024-111  2024  111  Sat  04/20/24  1.741 0.400 0.400 0.036 1.173 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.696   2.800 -99.999 -99.999 0.035 0.572   1.602 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  111  Sat  04/20/24
2024-112  2024  112  Sun  04/21/24  1.249 0.400 0.400 0.036 1.166 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.500   2.800 -99.999 -99.999 0.035 0.580   1.624 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  112  Sun  04/21/24
2024-113  2024  113  Mon  04/22/24  1.434 0.400 0.400 0.036 1.182 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.573   2.800 -99.999 -99.999 0.035 0.577   1.616 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  113  Mon  04/22/24
2024-114  2024  114  Tue  04/23/24  2.033 0.400 0.400 0.036 1.183 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.813   2.800 -99.999 -99.999 0.035 0.567   1.589 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  114  Tue  04/23/24
2024-115  2024  115  Wed  04/24/24  1.210 0.400 0.400 0.036 1.166 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.484   2.800 -99.999 -99.999 0.035 0.581   1.626 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  115  Wed  04/24/24
